Word	Tag
EMPLOYERS	O
"
"	O
Company	O
"
"	O
"
"	O
Position	O
"
"	O
From	O
"
"	O
To	O
"
"	O
Location	O
"
"	O
ATEB	B-Companies worked at
"
"	O
Procurement	B-Designation
&	I-Designation
Tendering	I-Designation
Engineer	I-Designation
"
"	O
2003-01-06	B-Years of Experience
"
"	O
2007-01-07	I-Years of Experience
"
"	O
Egypt	B-Location
"
"	O
FINE	B-Companies worked at
PEAK	I-Companies worked at
"
"	O
Senior	B-Designation
Procurement	I-Designation
Engineer	I-Designation
"
"	O
2010-01-11	I-Years of Experience
"
"	O
TKG	B-Companies worked at
"
"	O
Senior	B-Designation
Tendering	I-Designation
Engineer	I-Designation
"
"	O
2011-01-10	B-Years of Experience
"
"	O
GMS	B-Companies worked at
"
"	O
Senior	B-Designation
Procurement	I-Designation
Coordinator	I-Designation
"
"	O
2011-01-11	B-Years of Experience
"
"	O
2014-01-02	B-Years of Experience
"
"	O
Iraq	B-Location
"
"	O
ALBAYAN	B-Companies worked at
HOLDING	I-Companies worked at
NAHDET	I-Companies worked at
ELEMAR	I-Companies worked at
"
"	I-Companies worked at
CONSTRUCTIONS	I-Companies worked at
"
"	O
2014-01-04	B-Years of Experience
"
"	I-Years of Experience
Present	I-Years of Experience
"
"	O
KSA	B-Location
"
"	O
"
"	O
.	.
Experienced	O
in	O
Financial	O
Oversight.	O
"
"	O
"
"	O
Experienced	O
in	O
professionally	O
organized	O
and	O
multi	O
cultured	O
environment.	O
"
"	O
Meticulous,	O
being	O
quick	O
learner	O
at	O
all	O
levels,	O
and	O
also	O
a	O
good	O
team	O
player.	O
"
"	O
"
"	O
WORK	O
eXPERIENCE-1	O
"
"	O
Employer	O
:	O
Jawdat	B-Companies worked at
Al	I-Companies worked at
Arkan	I-Companies worked at
Infosystems,	I-Companies worked at
(ODC	I-Companies worked at
of	I-Companies worked at
TESS),	I-Companies worked at
Riyadh,	B-Location
KSA	O
"
"	O
Duration	O
:	O
3.0	O
Year	O
(2016-	B-Years of Experience
2019)	B-Years of Experience
"
"	O
Designation	O
:	O
Operations	B-Designation
Manager	I-Designation
"
"	O
KEY	O
DUTIES	O
AND	O
RESPONSIBLITIES	O
"
"	O
Manage	O
and	O
direct	O
operations	O
team	O
to	O
achieve	O
business	O
targets.	O
"
"	O
Researching	O
new	O
technologies	O
and	O
alternative	O
methods	O
of	O
efficiency.	O
"
"	O
Assist	O
in	O
developing	O
or	O
updating	O
standard	O
operating	O
procedures	O
for	O
all	O
business	O
operational	O
activities.	O
"
"	O
Manage	O
staff	O
levels,	O
wages,	O
hours,	O
contract	O
labor	O
to	O
revenues.	O
"
"	O
Provide	O
operational	O
support	O
and	O
guidance	O
to	O
staff.	O
"
"	O
Monitor	O
and	O
control	O
expense	O
according	O
to	O
allotted	O
budget.	O
"
"	O
WORK	O
eXPERIENCE-2	O
"
"	O
Employer	O
:	O
TechM	B-Companies worked at
Square	I-Companies worked at
Software	I-Companies worked at
Solutions,	I-Companies worked at
Riyadh,	B-Location
KSA	I-Location
"
"	O
Duration	O
:	O
2.0	O
Year	O
(2014-2016)	B-Years of Experience
"
"	O
Designation	O
:	O
Operations	B-Designation
Manager	I-Designation
"
"	O
"
"	O
Manages	O
the	O
growth	O
and	O
success	O
of	O
the	O
team.	O
"
"	O
Developing	O
and	O
maintaining	O
a	O
detailed	O
project	O
plan.	O
"
"	O
Responsible	O
for	O
the	O
production,	O
procurement,	O
and	O
planning	O
of	O
daily	O
operations.	O
"
"	O
Provides	O
guidance	O
to	O
employees	O
to	O
ensure	O
the	O
quality.	O
"
"	O
WORK	O
eXPERIENCE-3	O
"
"	O
Employer	O
:	O
Technocuz	B-Companies worked at
Software	I-Companies worked at
Solutions	I-Companies worked at
(TESS),	I-Companies worked at
Technopark,	I-Companies worked at
India	B-Location
"
"	O
Duration	O
:	O
4.0	O
Years	O
(2010-2014)	B-Years of Experience
"
"	O
Designation	O
:	O
Project	B-Companies worked at
Manager	I-Companies worked at
"
"	O
Detailed	O
project	O
planning	O
and	O
control.	O
"
"	O
Managing	O
project	O
deliverables	O
in	O
line	O
with	O
the	O
project	O
plan.	O
"
"	O
Help	O
to	O
implement	O
the	O
code	O
on	O
the	O
base	O
of	O
Design.	O
"
"	O
Monitoring	O
project	O
progress	O
and	O
performance.	O
"
"	O
Working	O
closely	O
with	O
users	O
to	O
ensure	O
the	O
project	O
meets	O
business	O
needs.	O
"
"	O
WORK	O
eXPERIENCE-4	O
"
"	O
Employer	O
:	O
Globalindex	B-Companies worked at
Software	I-Companies worked at
Solutions,	I-Companies worked at
Kerala,	B-Location
India	I-Location
"
"	O
Duration	O
:	O
2.0	O
Years	O
(2008-2010)	B-Years of Experience
"
"	O
Designation	O
:	O
Application	B-Designation
Programmer	I-Designation
(SMARTY)	I-Designation
"
"	O
Integration	O
of	O
user-facing	O
elements	O
developed	O
by	O
front-end	O
developers.	O
"
"	O
Build	O
efficient,	O
testable,	O
and	O
reusable	O
PHP	O
modules.	O
"
"	O
Solve	O
complex	O
performance	O
problems	O
and	O
architectural	O
challenges.	O
"
"	O
Contribute	O
in	O
all	O
phases	O
of	O
the	O
development	O
lifecycle.	O
"
"	O
"
"	O
.	.
SUMMARY	O
OF	O
QUALIFICATION	O
"
"	O
"
"	O
A	O
Certified	O
Civil	B-Designation
Engineer	I-Designation
with	O
six	B-Years of Experience
-7.0	I-Years of Experience
years	I-Years of Experience
of	O
extensive	O
experience	O
in	O
QA/QC	B-Designation
Engineer,	I-Designation
Civil/	I-Designation
Site	O
Inspector	O
for	O
Civil,	O
Structural	O
Construction	O
for	O
Refineries,	O
Power	O
Plants,	O
Building	O
&	O
Industrial	O
Construction.	O
Have	O
good	O
knowledge	O
of	O
Heavy	O
Civil	O
Works,	O
Structural	O
Works,	O
Construction	O
&	O
Piling	O
Works,	O
Asphalts	O
Paving	O
&	O
Concreting	O
Works,	O
Roads	O
&	O
Highways,	O
Structure	O
Grouting,	O
Sewer	O
Manholes,	O
and	O
Pits	O
&	O
Channels.	O
Well	O
knowledge	O
about	O
Quality	O
and	O
Safety	O
aspects	O
in	O
Oil	O
&	O
Gas	O
sector	O
in	O
Gulf	O
region.	O
"
"	O
Over	O
the	O
years,	O
I	O
was	O
exposed	O
to	O
various	O
working	O
conditions	O
performing	O
varied	O
duties	O
and	O
responsibilities	O
which	O
helped	O
me	O
developed	O
a	O
wide	O
array	O
of	O
understanding,	O
skills	O
and	O
knowledge	O
of	O
the	O
stages	O
of	O
the	O
construction	O
&	O
commissioning	O
industry.	O
I	O
have	O
enhanced	O
my	O
analytical	O
ability	O
of	O
interpreting	O
construction	O
plans,	O
understanding	O
documents	O
and	O
specifications,	O
and	O
