Word	Tag
Working	O
knowledge	O
in	O
Microsoft	B-Skills
Dynamics	I-Skills
AX	O
"
"	O
Working	O
Knowledge	O
in	O
SAP	B-Skills
Ariba	B-Skills
"
"	O
Working	O
Knowledge	O
in	O
SAP	B-Skills
Field	I-Skills
Glass	I-Skills
"
"	O
Working	O
knowledge	O
of	O
Windows	B-Skills
and	O
familiar	O
with	O
MS-Word/MS-Excel	B-Skills
"
"	O
Working	O
knowledge	O
in	O
Tally	B-Skills
ERP.9	I-Skills
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
Working	O
Knowledge	O
in	O
SAP	B-Skills
Ariba	B-Skills
"
"	O
Working	O
Knowledge	O
in	O
SAP	B-Skills
Field	I-Skills
Glass	I-Skills
"
"	O
Working	O
knowledge	O
of	O
Windows	B-Skills
and	O
familiar	O
with	O
MS-Word/MS-Excel	B-Skills
"
"	O
Working	O
knowledge	O
in	O
Tally	B-Skills
ERP.9	I-Skills
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Working	O
Knowledge	O
in	O
SAP	B-Skills
Field	I-Skills
Glass	I-Skills
"
"	O
Working	O
knowledge	O
of	O
Windows	B-Skills
and	O
familiar	O
with	O
MS-Word/MS-Excel	B-Skills
"
"	O
Working	O
knowledge	O
in	O
Tally	B-Skills
ERP.9	I-Skills
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Accounting	O
for	O
Invoices	O
and	O
customer	O
collections	O
"
"	O
Working	O
knowledge	O
of	O
Windows	B-Skills
and	O
familiar	O
with	O
MS-Word/MS-Excel	B-Skills
"
"	O
Working	O
knowledge	O
in	O
Tally	B-Skills
ERP.9	I-Skills
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Accounting	O
for	O
Invoices	O
and	O
customer	O
collections	O
"
"	O
Accounting	O
for	O
Unbilled	O
revenue	O
&	O
Unearned	O
revenue	O
"
"	O
Working	O
knowledge	O
in	O
Tally	B-Skills
ERP.9	I-Skills
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Accounting	O
for	O
Invoices	O
and	O
customer	O
collections	O
"
"	O
Accounting	O
for	O
Unbilled	O
revenue	O
&	O
Unearned	O
revenue	O
"
"	O
Passing	O
Quarterly	O
book	O
closure	O
accounting	O
entries	O
"
"	O
Working	O
knowledge	O
in	O
Winman	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Accounting	O
for	O
Invoices	O
and	O
customer	O
collections	O
"
"	O
Accounting	O
for	O
Unbilled	O
revenue	O
&	O
Unearned	O
revenue	O
"
"	O
Passing	O
Quarterly	O
book	O
closure	O
accounting	O
entries	O
"
"	O
Incentive	O
calculation	O
for	O
BU	O
heads	O
and	O
Account	O
Managers	O
"
"	O
Working	O
Knowledge	O
In	O
Relyon	B-Skills
Saral	I-Skills
Taxation	I-Skills
Software	I-Skills
"
"	O
Information	O
Technology	O
Certificate	O
issued	O
by	O
ICAI	O
"
"	O
"
"	O
PROFESSIONAL	O
EXPERIENCE:	O
"
"	O
"
"	O
	O
Team	O
lead	O
Accounts	O
Receivable	O
and	O
MIS	O
for	O
US	O
operations	O
at	O
Infinite	O
Computer	O
Solutions	O
India	O
Ltd.	O
"
"	O
Period	O
of	O
Service:	O
26th	O
February	O
2015.0	O
to	O
Present.	O
"
"	O
	O
"
"	O
"
"	O
Key	O
Exposures	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
	O
"
"	O
"
"	O
Accounting	O
for	O
Invoices	O
and	O
customer	O
collections	O
"
"	O
Accounting	O
for	O
Unbilled	O
revenue	O
&	O
Unearned	O
revenue	O
"
"	O
Passing	O
Quarterly	O
book	O
closure	O
accounting	O
entries	O
"
"	O
Incentive	O
calculation	O
for	O
BU	O
heads	O
and	O
Account	O
Managers	O
"
"	O
"
"	O
"
"	O
.	.
"
"	O
.	.
COMPUTER	O
